algorithm,num_layers,hidden_size,train_size,seed,epoch,train_loss,test_acc,wall_time_s
BP,2,256,500,0,13,0.015885,0.8767,3.94
BP,2,256,500,0,14,0.013454,0.8759,4.23
BP,2,256,500,0,15,0.011509,0.8738,4.53
BP,2,256,500,0,16,0.010013,0.8759,4.83
BP,2,256,500,0,17,0.008902,0.8755,5.12
BP,2,256,500,0,18,0.008004,0.8737,5.42
BP,2,256,500,0,19,0.007244,0.8747,5.71
BP,2,256,500,0,20,0.00666,0.8747,6.0
BP,2,256,500,0,21,0.006064,0.8744,6.29
BP,2,256,500,0,22,0.005548,0.8752,6.58
BP,2,256,500,0,23,0.005143,0.8733,6.88
BP,2,256,500,0,24,0.004725,0.8738,7.17
BP,2,256,500,0,25,0.004386,0.8748,7.46
BP,2,256,500,0,26,0.0041,0.8744,7.76
BP,2,256,500,0,27,0.003861,0.8739,8.05
BP,2,256,500,0,28,0.003604,0.8737,8.34
BP,2,256,500,0,29,0.003376,0.874,8.64
BP,2,256,500,0,30,0.003185,0.8749,8.93
BP,2,256,500,1,1,1.747523,0.7666,0.29
BP,2,256,500,1,2,0.865444,0.8131,0.58
BP,2,256,500,1,3,0.50891,0.8499,0.87
BP,2,256,500,1,4,0.340578,0.8583,1.16
BP,2,256,500,1,5,0.207278,0.8694,1.46
BP,2,256,500,1,6,0.135951,0.8698,1.75
BP,2,256,500,1,7,0.091755,0.8702,2.04
BP,2,256,500,1,8,0.059479,0.8705,2.33
BP,2,256,500,1,9,0.040805,0.873,2.62
BP,2,256,500,1,10,0.031371,0.8746,2.91
BP,2,256,500,1,11,0.023555,0.8763,3.2
BP,2,256,500,1,12,0.018509,0.8754,3.49
BP,2,256,500,1,13,0.015039,0.8774,3.78
BP,2,256,500,1,14,0.0126,0.8772,4.06
BP,2,256,500,1,15,0.010893,0.8764,4.35
BP,2,256,500,1,16,0.009499,0.8787,4.64
BP,2,256,500,1,17,0.008362,0.8784,4.93
BP,2,256,500,1,18,0.007538,0.8781,5.23
BP,2,256,500,1,19,0.006835,0.8781,5.53
BP,2,256,500,1,20,0.00618,0.8775,5.83
BP,2,256,500,1,21,0.005637,0.8776,6.12
BP,2,256,500,1,22,0.005206,0.8784,6.41
BP,2,256,500,1,23,0.004805,0.878,6.7
BP,2,256,500,1,24,0.004451,0.8778,6.98
BP,2,256,500,1,25,0.004147,0.878,7.27
BP,2,256,500,1,26,0.003884,0.878,7.57
BP,2,256,500,1,27,0.003631,0.8785,7.87
BP,2,256,500,1,28,0.003396,0.8786,8.16
BP,2,256,500,1,29,0.003173,0.8781,8.46
BP,2,256,500,1,30,0.002987,0.878,8.76
BP,2,256,500,2,1,1.739617,0.7489,0.3
BP,2,256,500,2,2,0.811623,0.8226,0.59
BP,2,256,500,2,3,0.485649,0.8462,0.9
BP,2,256,500,2,4,0.328776,0.855,1.19
BP,2,256,500,2,5,0.20021,0.8711,1.48
BP,2,256,500,2,6,0.132124,0.8673,1.78
BP,2,256,500,2,7,0.084166,0.8737,2.07
BP,2,256,500,2,8,0.055703,0.8705,2.39
BP,2,256,500,2,9,0.038866,0.8719,2.7
BP,2,256,500,2,10,0.028796,0.8733,2.98
BP,2,256,500,2,11,0.022025,0.8713,3.28
BP,2,256,500,2,12,0.01726,0.8764,3.58
BP,2,256,500,2,13,0.014604,0.8757,3.87
BP,2,256,500,2,14,0.011976,0.8744,4.16
BP,2,256,500,2,15,0.010648,0.8753,4.44
BP,2,256,500,2,16,0.009316,0.8762,4.73
BP,2,256,500,2,17,0.008257,0.8764,5.01
BP,2,256,500,2,18,0.007558,0.8759,5.3
BP,2,256,500,2,19,0.006798,0.8765,5.58
BP,2,256,500,2,20,0.006152,0.8761,5.87
BP,2,256,500,2,21,0.005665,0.8759,6.15
BP,2,256,500,2,22,0.005182,0.8761,6.44
BP,2,256,500,2,23,0.004759,0.8757,6.73
BP,2,256,500,2,24,0.004441,0.8764,7.01
BP,2,256,500,2,25,0.00414,0.8767,7.3
BP,2,256,500,2,26,0.003861,0.8767,7.58
BP,2,256,500,2,27,0.003624,0.8765,7.87
BP,2,256,500,2,28,0.00339,0.8759,8.15
BP,2,256,500,2,29,0.003186,0.8762,8.44
BP,2,256,500,2,30,0.002985,0.8763,8.73
BP,2,256,1000,0,1,1.33742,0.7767,0.31
BP,2,256,1000,0,2,0.536364,0.8658,0.61
BP,2,256,1000,0,3,0.325057,0.88,0.92
BP,2,256,1000,0,4,0.217002,0.8861,1.22
BP,2,256,1000,0,5,0.164861,0.8794,1.53
BP,2,256,1000,0,6,0.109456,0.8877,1.83
BP,2,256,1000,0,7,0.075617,0.8921,2.13
BP,2,256,1000,0,8,0.046646,0.8908,2.44
BP,2,256,1000,0,9,0.031102,0.8899,2.74
