algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_energy,test_acc,wall_time_s
PC,2,256,100,1,10,10,165.779899,0.621,3.23
PC,2,256,100,1,10,11,163.580478,0.621,3.37
PC,2,256,100,1,10,12,161.595896,0.621,3.51
PC,2,256,100,1,10,13,159.904705,0.621,3.64
PC,2,256,100,1,10,14,158.314569,0.621,3.78
PC,2,256,100,1,10,15,156.940103,0.631,4.84
PC,2,256,100,1,10,16,155.649273,0.631,4.98
PC,2,256,100,1,10,17,154.487303,0.631,5.11
PC,2,256,100,1,10,18,153.382491,0.631,5.25
PC,2,256,100,1,10,19,152.450741,0.631,5.39
PC,2,256,100,1,10,20,151.537113,0.626,6.44
PC,2,256,100,1,10,21,150.667409,0.626,6.58
PC,2,256,100,1,10,22,149.822146,0.626,6.72
PC,2,256,100,1,10,23,149.08726,0.626,6.86
PC,2,256,100,1,10,24,148.390331,0.626,6.99
PC,2,256,100,1,10,25,147.749479,0.629,8.06
PC,2,256,100,1,10,26,147.117659,0.629,8.19
PC,2,256,100,1,10,27,146.539121,0.629,8.33
PC,2,256,100,1,10,28,145.999801,0.629,8.47
PC,2,256,100,1,10,29,145.488596,0.629,8.6
PC,2,256,100,1,10,30,144.983196,0.621,9.68
PC,2,256,100,1,20,1,257.992096,,0.22
PC,2,256,100,1,20,2,208.484565,,0.44
PC,2,256,100,1,20,3,191.269098,,0.66
PC,2,256,100,1,20,4,180.762564,,0.88
PC,2,256,100,1,20,5,173.790134,0.639,2.92
PC,2,256,100,1,20,6,168.462858,0.639,3.14
PC,2,256,100,1,20,7,164.365496,0.639,3.36
PC,2,256,100,1,20,8,161.029855,0.639,3.58
PC,2,256,100,1,20,9,158.280039,0.639,3.8
PC,2,256,100,1,20,10,155.854735,0.645,5.88
PC,2,256,100,1,20,11,153.812465,0.645,6.1
PC,2,256,100,1,20,12,152.00027,0.645,6.32
PC,2,256,100,1,20,13,150.500647,0.645,6.54
PC,2,256,100,1,20,14,149.050652,0.645,6.76
PC,2,256,100,1,20,15,147.81893,0.651,8.83
PC,2,256,100,1,20,16,146.687586,0.651,9.06
PC,2,256,100,1,20,17,145.664665,0.651,9.28
PC,2,256,100,1,20,18,144.707913,0.651,9.5
PC,2,256,100,1,20,19,143.885256,0.651,9.72
PC,2,256,100,1,20,20,143.088182,0.643,11.98
PC,2,256,100,1,20,21,142.373679,0.643,12.2
PC,2,256,100,1,20,22,141.687803,0.643,12.42
PC,2,256,100,1,20,23,141.082682,0.643,12.64
PC,2,256,100,1,20,24,140.525223,0.643,12.86
PC,2,256,100,1,20,25,139.991265,0.656,14.9
PC,2,256,100,1,20,26,139.486542,0.656,15.12
PC,2,256,100,1,20,27,139.036242,0.656,15.33
PC,2,256,100,1,20,28,138.612677,0.656,15.55
PC,2,256,100,1,20,29,138.198491,0.656,15.77
PC,2,256,100,1,20,30,137.793392,0.65,17.81
PC,2,256,100,1,50,1,256.471068,,0.46
PC,2,256,100,1,50,2,205.23536,,0.93
PC,2,256,100,1,50,3,187.296292,,1.43
PC,2,256,100,1,50,4,176.44594,,1.96
PC,2,256,100,1,50,5,169.293383,0.668,6.96
PC,2,256,100,1,50,6,163.939235,0.668,7.42
PC,2,256,100,1,50,7,159.837335,0.668,7.88
PC,2,256,100,1,50,8,156.50076,0.668,8.34
PC,2,256,100,1,50,9,153.705391,0.668,8.8
PC,2,256,100,1,50,10,151.29835,0.684,13.75
PC,2,256,100,1,50,11,149.273398,0.684,14.21
PC,2,256,100,1,50,12,147.487512,0.684,14.67
PC,2,256,100,1,50,13,145.992924,0.684,15.13
PC,2,256,100,1,50,14,144.58649,0.684,15.59
PC,2,256,100,1,50,15,143.358571,0.682,20.48
PC,2,256,100,1,50,16,142.265558,0.682,20.94
PC,2,256,100,1,50,17,141.273893,0.682,21.4
PC,2,256,100,1,50,18,140.363252,0.682,21.86
PC,2,256,100,1,50,19,139.540653,0.682,22.33
PC,2,256,100,1,50,20,138.77737,0.687,27.24
PC,2,256,100,1,50,21,138.070687,0.687,27.7
PC,2,256,100,1,50,22,137.430759,0.687,28.16
PC,2,256,100,1,50,23,136.82883,0.687,28.62
PC,2,256,100,1,50,24,136.2621,0.687,29.08
PC,2,256,100,1,50,25,135.752715,0.679,34.01
PC,2,256,100,1,50,26,135.257467,0.679,34.47
PC,2,256,100,1,50,27,134.801932,0.679,34.93
PC,2,256,100,1,50,28,134.396032,0.679,35.39
PC,2,256,100,1,50,29,134.001335,0.679,35.85
PC,2,256,100,1,50,30,133.618853,0.666,40.71
PC,2,256,100,2,10,1,265.854253,,0.14
PC,2,256,100,2,10,2,221.59495,,0.29
PC,2,256,100,2,10,3,204.798807,,0.43
PC,2,256,100,2,10,4,194.236468,,0.57
PC,2,256,100,2,10,5,186.705349,0.627,1.65
PC,2,256,100,2,10,6,180.85931,0.627,1.82
PC,2,256,100,2,10,7,176.400198,0.627,1.96
PC,2,256,100,2,10,8,172.60487,0.627,2.1
PC,2,256,100,2,10,9,169.494777,0.627,2.27
PC,2,256,100,2,10,10,166.788113,0.665,3.36
PC,2,256,100,2,10,11,164.535666,0.665,3.5
PC,2,256,100,2,10,12,162.559701,0.665,3.64
PC,2,256,100,2,10,13,160.803022,0.665,3.78
PC,2,256,100,2,10,14,159.215754,0.665,3.92
PC,2,256,100,2,10,15,157.752722,0.698,5.0
PC,2,256,100,2,10,16,156.440264,0.698,5.14
PC,2,256,100,2,10,17,155.26555,0.698,5.28
PC,2,256,100,2,10,18,154.224179,0.698,5.42
PC,2,256,100,2,10,19,153.126461,0.698,5.56
PC,2,256,100,2,10,20,152.273085,0.703,6.62
PC,2,256,100,2,10,21,151.392176,0.703,6.76
PC,2,256,100,2,10,22,150.565064,0.703,6.89
PC,2,256,100,2,10,23,149.811569,0.703,7.03
PC,2,256,100,2,10,24,149.113814,0.703,7.17
PC,2,256,100,2,10,25,148.441377,0.694,8.27
PC,2,256,100,2,10,26,147.811959,0.694,8.41
PC,2,256,100,2,10,27,147.34775,0.694,8.54
PC,2,256,100,2,10,28,146.75598,0.694,8.69
PC,2,256,100,2,10,29,146.218203,0.694,8.83
PC,2,256,100,2,10,30,145.712624,0.687,9.96
PC,2,256,100,2,20,1,256.577948,,0.24
PC,2,256,100,2,20,2,209.143556,,0.46
PC,2,256,100,2,20,3,192.520478,,0.68
PC,2,256,100,2,20,4,182.399586,,0.9
PC,2,256,100,2,20,5,175.32665,0.681,2.93
PC,2,256,100,2,20,6,170.056273,0.681,3.15
PC,2,256,100,2,20,7,165.961904,0.681,3.37
PC,2,256,100,2,20,8,162.573808,0.681,3.59
PC,2,256,100,2,20,9,159.795683,0.681,3.81
PC,2,256,100,2,20,10,157.368218,0.688,5.83
PC,2,256,100,2,20,11,155.317608,0.688,6.04
PC,2,256,100,2,20,12,153.514643,0.688,6.26
PC,2,256,100,2,20,13,151.939119,0.688,6.48
PC,2,256,100,2,20,14,150.514796,0.688,6.7
PC,2,256,100,2,20,15,149.218578,0.704,8.76
PC,2,256,100,2,20,16,148.067032,0.704,8.98
PC,2,256,100,2,20,17,147.092276,0.704,9.2
PC,2,256,100,2,20,18,146.149712,0.704,9.41
PC,2,256,100,2,20,19,145.243112,0.704,9.63
PC,2,256,100,2,20,20,144.489842,0.708,11.64
PC,2,256,100,2,20,21,143.783907,0.708,11.86
PC,2,256,100,2,20,22,143.061306,0.708,12.09
PC,2,256,100,2,20,23,142.447855,0.708,12.32
PC,2,256,100,2,20,24,141.874776,0.708,12.58
PC,2,256,100,2,20,25,141.274603,0.703,14.64
PC,2,256,100,2,20,26,140.743383,0.703,14.86
PC,2,256,100,2,20,27,140.334324,0.703,15.08
PC,2,256,100,2,20,28,139.855986,0.703,15.3
PC,2,256,100,2,20,29,139.404223,0.703,15.52
PC,2,256,100,2,20,30,138.963595,0.7,17.55
PC,2,256,100,2,50,1,254.920056,,0.46
PC,2,256,100,2,50,2,205.687645,,0.92
PC,2,256,100,2,50,3,188.295824,,1.38
PC,2,256,100,2,50,4,177.845278,,1.84
PC,2,256,100,2,50,5,170.509752,0.701,6.82
PC,2,256,100,2,50,6,165.204048,0.701,7.28
PC,2,256,100,2,50,7,161.04336,0.701,7.75
PC,2,256,100,2,50,8,157.631758,0.701,8.21
PC,2,256,100,2,50,9,154.843266,0.701,8.67
PC,2,256,100,2,50,10,152.458882,0.689,13.59
PC,2,256,100,2,50,11,150.412052,0.689,14.05
PC,2,256,100,2,50,12,148.633543,0.689,14.51
PC,2,256,100,2,50,13,147.103846,0.689,14.97
PC,2,256,100,2,50,14,145.751475,0.689,15.43
PC,2,256,100,2,50,15,144.50335,0.69,20.31
PC,2,256,100,2,50,16,143.388981,0.69,20.78
PC,2,256,100,2,50,17,142.453144,0.69,21.24
PC,2,256,100,2,50,18,141.549217,0.69,21.69
PC,2,256,100,2,50,19,140.68622,0.69,22.15
PC,2,256,100,2,50,20,139.960712,0.689,27.06
PC,2,256,100,2,50,21,139.267356,0.689,27.52
PC,2,256,100,2,50,22,138.607726,0.689,27.98
PC,2,256,100,2,50,23,138.021087,0.689,28.44
PC,2,256,100,2,50,24,137.47097,0.689,28.9
PC,2,256,100,2,50,25,136.963208,0.691,33.75
PC,2,256,100,2,50,26,136.463376,0.691,34.21
PC,2,256,100,2,50,27,136.054121,0.691,34.67
PC,2,256,100,2,50,28,135.610759,0.691,35.13
PC,2,256,100,2,50,29,135.210494,0.691,35.59
PC,2,256,100,2,50,30,134.839966,0.689,40.51
PC,2,256,500,0,10,1,220.236296,,0.68
PC,2,256,500,0,10,2,185.210323,,1.37
PC,2,256,500,0,10,3,173.895196,,2.05
PC,2,256,500,0,10,4,167.750329,,2.73
PC,2,256,500,0,10,5,163.650319,0.761,4.33
PC,2,256,500,0,10,6,160.669531,0.761,5.01
PC,2,256,500,0,10,7,158.26332,0.761,5.69
PC,2,256,500,0,10,8,156.25281,0.761,6.37
PC,2,256,500,0,10,9,154.581047,0.761,7.06
